geneID	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
TDRD9	-1.5627519887892354	-0.26725879573106154	-0.27209531651724717	-0.04762524022991456	-2.1481247943804087	1.833989454920028	2.551192222032351	1.2289053381373336	1.5776094846053976	1.3326000220763243
TENM2	4.786867785859779	3.800770438338608	3.98775586555184	2.9770246053024136	4.415517196114151	3.5923807805584955	0.5532628516276566	-2.1814844482717053	0.04320089350611731	1.2907304226013636
TESPA1	0.633098386421673	2.100088739497974	1.6567696621995815	2.0842429642664055	1.4810373330077051	3.8239969181118134	3.676884756931335	4.208375495901609	4.2104565956546836	3.705348560612221
TF	8.480400716565496	9.367907042529549	9.325407593381069	7.8085879749170894	7.292664709730289	3.108143435119929	4.868441572479662	3.5384504934033574	3.4059711566055966	3.3874784649758736
TFAP2A	5.7301099237377695	5.6062661646067555	5.494813155100461	5.276974222482544	4.526008443008345	2.9315138217006904	1.4733160704148553	1.5920338793701634	0.4162264896834405	2.8973541241622196
TFAP2B	4.124357926155087	3.7398830049419582	3.701037058761711	3.333878417668957	3.3266516825492527	-2.450138230235429	-4.576572889791547	-2.5102705574611353	-3.4963781229662367	-0.7315811770254528
TFAP2C	6.4754200536515105	6.163044997695257	5.790956026330301	6.132537392442005	5.985968346500883	4.734338909790047	3.1988034512675005	3.352683633290282	3.4631197605333095	4.34804351014985
TFCP2L1	6.830126765276282	6.579108577664725	6.443903316483983	5.794141637478934	6.296436885180196	5.8949427265171	3.613554368307054	3.7252002656508174	3.6413114341757877	3.871661192579071
TFEC	0.19631290263080356	3.149610003146779	2.4506434041192944	2.5279612769902524	2.9358519941755845	6.670000525319819	7.1240922044464146	7.540377275220972	7.782326392134244	7.629776727760875
TGFB1	3.5800686242864685	3.507853665572227	3.437621712226089	3.902171593895495	5.047226606904972	5.404736982899369	5.873721258168838	5.572677144303138	5.659172696686342	5.980179717937726
TGFBR3	7.181638783238102	7.700694361243566	7.809667609923707	7.675289373761349	8.650670563592534	5.366201285004213	5.529652056868859	5.113942725931204	5.137147818493767	5.569105862066076
TGM2	2.106706095479216	2.6718539989672476	3.324243612063402	3.2193398292169495	2.7879758903668326	6.809799986886136	7.867301327185652	7.808905061002616	7.267065522228568	7.85734459472491
TGM5	5.700192602390374	5.1969774426107405	4.806744782454559	4.935932323038822	5.24516152880266	4.586271582938191	-0.9627569013136819	2.285415910921329	2.361150706518615	3.0280554426994133
THBS1	7.309244038957161	6.740183313513865	7.145706633629018	6.941205045291803	8.81574121097019	11.03054532739452	10.549338014028764	8.60457297278967	8.840031469785178	8.531447438087378
THEM5	5.8351100848283375	5.158056616824417	4.697465270299196	4.779605446712048	5.301371015954797	3.3627789102972905	1.6703587738795473	1.9450286526428195	1.6687791485883605	2.395695074128657
THEMIS	-0.49416318386188723	0.7210959212790484	0.3353523889251144	1.6254295818593913	1.8256030773282965	4.741642308554616	4.801282572988566	5.795541652803343	5.665170536199781	5.056140278624199
THEMIS2	2.4612184488351083	3.303071408830016	2.9414026769726136	2.698436689502062	3.5044894377091027	7.625621822836541	7.119369905599632	7.759622171382158	8.055484775316247	7.693050805615856
THRSP	5.513720012183202	7.216274591412748	7.071331854107385	6.596561589932789	4.459638626513778	-2.5755511994891798	1.9225949166724492	-2.093850194767947	-1.322653202815859	0.8777117696127837
